,dataset,auroc,accuracy,balanced_accuracy,f1_score,prec,rec,auprc,auroc_y_no_noise,accuracy_y_no_noise,balanced_accuracy_y_no_noise,f1_score_y_no_noise,prec_y_no_noise,rec_y_no_noise,auprc_y_no_noise,run,automl,exp_name,y_preds,y_proba,y_des
10,digen24_2433,0.994405720038376,0.9642,0.9639208332047369,0.9628399418725347,[0.4863     0.48634863 0.48639728 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 4.11268764e-04
 2.05634382e-04 0.00000000e+00]",0.994192114719552,0.994405720038376,0.9642,0.9639208332047369,0.9628399418725347,[0.4863     0.48634863 0.48639728 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 4.11268764e-04
 2.05634382e-04 0.00000000e+00]",0.994192114719552,0,h2o,h2o_1200s,"[[1]
 [0]
 [1]
 ...
 [0]
 [0]
 [0]]","[[9.91927423e-01]
 [2.32741241e-02]
 [9.56993291e-01]
 ...
 [3.32868093e-02]
 [6.73230801e-05]
 [2.67027470e-02]]","[[9.91927423e-01]
 [2.32741241e-02]
 [9.56993291e-01]
 ...
 [3.32868093e-02]
 [6.73230801e-05]
 [2.67027470e-02]]"
11,digen3_769,0.9870592258976881,0.9739,0.9741011590014756,0.9743891669119812,[0.5136     0.51365137 0.51370274 ... 1.         1.         1.        ],[1.         1.         1.         ... 0.58274922 0.57106698 0.        ],0.9920424941014673,0.9992691976322003,0.9864,0.9863916759090299,0.9864864864864865,[0.5009    0.5009501 0.5010002 ... 1.        1.        1.       ],[1.         1.         1.         ... 0.59752446 0.58554602 0.        ],0.9993143671463486,0,h2o,h2o_1200s,"[[0]
 [0]
 [1]
 ...
 [0]
 [0]
 [0]]","[[3.61696630e-04]
 [8.05440035e-06]
 [1.00000000e+00]
 ...
 [1.62315133e-03]
 [3.47776654e-04]
 [6.19948994e-06]]","[[3.61696630e-04]
 [8.05440035e-06]
 [1.00000000e+00]
 ...
 [1.62315133e-03]
 [3.47776654e-04]
 [6.19948994e-06]]"
12,digen17_6949,0.9949283388534217,0.9521,0.9522292356677706,0.9506948018528049,[0.502      0.50205021 0.50210042 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 3.98406375e-04
 1.99203187e-04 0.00000000e+00]",0.9951144237055376,0.9949283388534217,0.9521,0.9522292356677706,0.9506948018528049,[0.502      0.50205021 0.50210042 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 3.98406375e-04
 1.99203187e-04 0.00000000e+00]",0.9951144237055376,0,h2o,h2o_1200s,"[[1]
 [1]
 [0]
 ...
 [0]
 [1]
 [1]]","[[0.99014479]
 [0.99450307]
 [0.00611781]
 ...
 [0.01139177]
 [0.99271125]
 [0.98031936]]","[[0.99014479]
 [0.99450307]
 [0.00611781]
 ...
 [0.01139177]
 [0.99271125]
 [0.98031936]]"
13,digen26_7270,0.9936636949340337,0.9665,0.9659050105669205,0.9645314981471678,[0.4784     0.4784957  0.47854356 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 4.18060201e-04
 2.09030100e-04 0.00000000e+00]",0.9928582652396252,0.9936636949340337,0.9665,0.9659050105669205,0.9645314981471678,[0.4784     0.4784957  0.47854356 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 4.18060201e-04
 2.09030100e-04 0.00000000e+00]",0.9928582652396252,0,h2o,h2o_1200s,"[[1]
 [0]
 [1]
 ...
 [1]
 [1]
 [0]]","[[0.99493401]
 [0.00446634]
 [0.98066708]
 ...
 [0.99512756]
 [0.98492857]
 [0.08596643]]","[[0.99493401]
 [0.00446634]
 [0.98066708]
 ...
 [0.99512756]
 [0.98492857]
 [0.08596643]]"
14,digen7_6949,0.9922457329366723,0.9602,0.96013614045946,0.9615012574966145,[0.5166     0.51665167 0.51670334 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 3.87146729e-04
 1.93573364e-04 0.00000000e+00]",0.9923112420003105,0.9922457329366723,0.9602,0.96013614045946,0.9615012574966145,[0.5166     0.51665167 0.51670334 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 3.87146729e-04
 1.93573364e-04 0.00000000e+00]",0.9923112420003105,0,h2o,h2o_1200s,"[[0]
 [1]
 [1]
 ...
 [0]
 [1]
 [1]]","[[4.76732857e-02]
 [9.95726415e-01]
 [9.39760255e-01]
 ...
 [1.37942092e-04]
 [8.91071594e-01]
 [9.99877809e-01]]","[[4.76732857e-02]
 [9.95726415e-01]
 [9.39760255e-01]
 ...
 [1.37942092e-04]
 [8.91071594e-01]
 [9.99877809e-01]]"
15,digen16_5390,0.9887835556599124,0.9681,0.9680417046600951,0.9674057423112292,[0.4906     0.49064906 0.49069814 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 4.07664085e-04
 2.03832042e-04 0.00000000e+00]",0.977243762194324,0.9988153592418298,0.9777,0.9777098257342884,0.9774405665149215,[0.5004     0.50045005 0.5005001  ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 3.99680256e-04
 1.99840128e-04 0.00000000e+00]",0.998833192109099,0,h2o,h2o_1200s,"[[1]
 [1]
 [0]
 ...
 [1]
 [1]
 [1]]","[[0.6357443 ]
 [0.91882727]
 [0.00568553]
 ...
 [0.98546655]
 [0.89175945]
 [0.94589215]]","[[0.6357443 ]
 [0.91882727]
 [0.00568553]
 ...
 [0.98546655]
 [0.89175945]
 [0.94589215]]"
16,digen27_860,0.9814611367478776,0.9433,0.9426500909867999,0.9403220713609094,[0.4851     0.48514851 0.48519704 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 4.12286127e-04
 2.06143063e-04 0.00000000e+00]",0.9687946177661368,0.9913317471694447,0.9508,0.9504352589254124,0.948685857321652,[0.4938     0.49384938 0.49389878 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 4.05022276e-04
 2.02511138e-04 0.00000000e+00]",0.990969607603011,0,h2o,h2o_1200s,"[[0]
 [1]
 [0]
 ...
 [0]
 [1]
 [0]]","[[7.18617133e-04]
 [9.93853909e-01]
 [1.18363277e-03]
 ...
 [1.31785597e-03]
 [9.60362692e-01]
 [1.09505540e-01]]","[[7.18617133e-04]
 [9.93853909e-01]
 [1.18363277e-03]
 ...
 [1.31785597e-03]
 [9.60362692e-01]
 [1.09505540e-01]]"
17,digen37_769,0.995268719242995,0.9724,0.9723976755836281,0.9722278124371101,[0.4998     0.49984998 0.49989998 ... 1.         1.         1.        ],[1.         1.         1.         ... 0.00240096 0.00140056 0.        ],0.9963388936186205,0.9981542796004194,0.9755,0.9754811119572369,0.9752700111032603,[0.4967     0.49674967 0.49679936 ... 1.         1.         1.        ],[1.         1.         1.         ... 0.00241595 0.0014093  0.        ],0.9981613796872004,0,h2o,h2o_1200s,"[[1]
 [1]
 [1]
 ...
 [0]
 [1]
 [0]]","[[1.00000000e+00]
 [9.99967519e-01]
 [9.99984498e-01]
 ...
 [2.69892732e-07]
 [9.99999992e-01]
 [1.53984262e-07]]","[[1.00000000e+00]
 [9.99967519e-01]
 [9.99984498e-01]
 ...
 [2.69892732e-07]
 [9.99999992e-01]
 [1.53984262e-07]]"
18,digen12_8322,0.9935188768371142,0.9503,0.9508591430751214,0.9493632195618951,[0.5082     0.50825083 0.50830166 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 3.93545848e-04
 1.96772924e-04 0.00000000e+00]",0.993934423940466,0.9935188768371142,0.9503,0.9508591430751214,0.9493632195618951,[0.5082     0.50825083 0.50830166 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 3.93545848e-04
 1.96772924e-04 0.00000000e+00]",0.993934423940466,0,h2o,h2o_1200s,"[[1]
 [0]
 [0]
 ...
 [0]
 [0]
 [1]]","[[0.99536419]
 [0.01993893]
 [0.00492395]
 ...
 [0.11151689]
 [0.01026491]
 [0.99536419]]","[[0.99536419]
 [0.01993893]
 [0.00492395]
 ...
 [0.11151689]
 [0.01026491]
 [0.99536419]]"
19,digen6_466,0.9929338950510486,0.9677,0.9675852442980092,0.9686620743184244,[0.5137     0.51375138 0.51380276 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 3.89332295e-04
 1.94666148e-04 0.00000000e+00]",0.9925352937379347,0.9929338950510486,0.9677,0.9675852442980092,0.9686620743184244,[0.5137     0.51375138 0.51380276 ... 1.         1.         1.        ],"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 3.89332295e-04
 1.94666148e-04 0.00000000e+00]",0.9925352937379347,0,h2o,h2o_1200s,"[[1]
 [1]
 [1]
 ...
 [0]
 [1]
 [0]]","[[0.95109609]
 [0.67789766]
 [0.95476931]
 ...
 [0.04642468]
 [0.94882103]
 [0.0454748 ]]","[[0.95109609]
 [0.67789766]
 [0.95476931]
 ...
 [0.04642468]
 [0.94882103]
 [0.0454748 ]]"
