,dataset,auroc,accuracy,balanced_accuracy,f1_score,prec,rec,auprc,auroc_y_no_noise,accuracy_y_no_noise,balanced_accuracy_y_no_noise,f1_score_y_no_noise,prec_y_no_noise,rec_y_no_noise,auprc_y_no_noise,run,automl,exp_name,y_preds,y_proba,y_des
386,digen40_5390,0.9947073558170346,0.967,0.9665063103417149,0.9686132775347157,[0.55934208 0.5592947  0.55935484 ... 1.         1.         1.        ],"[1.00000000e+00 9.99807803e-01 9.99807803e-01 ... 3.84393619e-04
 1.92196810e-04 0.00000000e+00]",0.9949568935330976,0.9947073558170346,0.967,0.9665063103417149,0.9686132775347157,[0.55934208 0.5592947  0.55935484 ... 1.         1.         1.        ],"[1.00000000e+00 9.99807803e-01 9.99807803e-01 ... 3.84393619e-04
 1.92196810e-04 0.00000000e+00]",0.9949568935330976,9,autosklearn2,autosklearn2_1200s,[1 0 1 ... 0 0 1],[0.82071571 0.00457369 0.95119847 ... 0.03975964 0.15289657 0.93407869],[0.82071571 0.00457369 0.95119847 ... 0.03975964 0.15289657 0.93407869]
387,digen2_6949,0.9977933066424133,0.9766,0.976466795460846,0.9773781902552205,[0.83048663 0.83045931 0.83059317 ... 1.         1.         1.        ],"[1.00000000e+00 9.99805976e-01 9.99805976e-01 ... 3.88048118e-04
 1.94024059e-04 0.00000000e+00]",0.997924046384628,0.9977933066424133,0.9766,0.976466795460846,0.9773781902552205,[0.83048663 0.83045931 0.83059317 ... 1.         1.         1.        ],"[1.00000000e+00 9.99805976e-01 9.99805976e-01 ... 3.88048118e-04
 1.94024059e-04 0.00000000e+00]",0.997924046384628,9,autosklearn2,autosklearn2_1200s,[0 1 0 ... 1 0 1],[0.23192004 0.94052794 0.00815003 ... 0.99243809 0.26101287 0.97525459],[0.23192004 0.94052794 0.00815003 ... 0.99243809 0.26101287 0.97525459]
388,digen4_860,0.9935754005777967,0.9531,0.953066742349187,0.9537976554034087,[0.73303429 0.73299566 0.73310175 ... 1.         1.         1.        ],"[1.00000000e+00 9.99802606e-01 9.99802606e-01 ... 3.94788788e-04
 1.97394394e-04 0.00000000e+00]",0.9939104141858814,0.9935754005777967,0.9531,0.953066742349187,0.9537976554034087,[0.73303429 0.73299566 0.73310175 ... 1.         1.         1.        ],"[1.00000000e+00 9.99802606e-01 9.99802606e-01 ... 3.94788788e-04
 1.97394394e-04 0.00000000e+00]",0.9939104141858814,9,autosklearn2,autosklearn2_1200s,[1 1 1 ... 1 0 0],"[9.98652802e-01 9.99521846e-01 9.18393789e-01 ... 9.86826290e-01
 1.85933951e-03 6.83015187e-04]","[9.98652802e-01 9.99521846e-01 9.18393789e-01 ... 9.86826290e-01
 1.85933951e-03 6.83015187e-04]"
389,digen14_769,0.9957055355342155,0.9633,0.9633248662485006,0.9632522278962652,[0.80099903 0.80096696 0.80109607 ... 1.         1.         1.        ],"[1.00000000e+00 9.99798833e-01 9.99798833e-01 ... 4.02333535e-04
 2.01166767e-04 0.00000000e+00]",0.9958053790367074,0.9957055355342155,0.9633,0.9633248662485006,0.9632522278962652,[0.80099903 0.80096696 0.80109607 ... 1.         1.         1.        ],"[1.00000000e+00 9.99798833e-01 9.99798833e-01 ... 4.02333535e-04
 2.01166767e-04 0.00000000e+00]",0.9958053790367074,9,autosklearn2,autosklearn2_1200s,[1 0 0 ... 1 0 0],"[9.96917856e-01 1.94934118e-02 8.17301035e-03 ... 9.98914828e-01
 2.69719502e-02 5.63992232e-04]","[9.96917856e-01 1.94934118e-02 8.17301035e-03 ... 9.98914828e-01
 2.69719502e-02 5.63992232e-04]"
390,digen29_8322,0.8057451532164092,0.7535,0.7546722166393873,0.7672552166934189,[0.51138609 0.51133527 0.51138846 ... 0.5        0.         1.        ],"[1.00000000e+00 9.99796665e-01 9.99796665e-01 ... 2.03334689e-04
 0.00000000e+00 0.00000000e+00]",0.7195897193766239,0.9847795923870911,0.8769,0.9049779777926209,0.901275162402759,[0.70666528 0.70663478 0.70670827 ... 1.         1.         1.        ],"[1.00000000e+00 9.99852855e-01 9.99852855e-01 ... 2.94290759e-04
 1.47145380e-04 0.00000000e+00]",0.9928193725265354,9,autosklearn2,autosklearn2_1200s,[1 1 1 ... 1 0 1],[0.64048345 0.69766663 0.65096431 ... 0.69646865 0.36529544 0.63611268],[0.64048345 0.69766663 0.65096431 ... 0.69646865 0.36529544 0.63611268]
391,digen21_6265,0.9943916246139941,0.9604,0.9610544550726821,0.9623717217787914,[0.7081117  0.70807288 0.70816707 ... 1.         1.         1.        ],"[1.00000000e+00 9.99812207e-01 9.99812207e-01 ... 3.75586854e-04
 1.87793427e-04 0.00000000e+00]",0.9951657719829662,0.9943916246139941,0.9604,0.9610544550726821,0.9623717217787914,[0.7081117  0.70807288 0.70816707 ... 1.         1.         1.        ],"[1.00000000e+00 9.99812207e-01 9.99812207e-01 ... 3.75586854e-04
 1.87793427e-04 0.00000000e+00]",0.9951657719829662,9,autosklearn2,autosklearn2_1200s,[0 0 0 ... 1 0 0],[0.07024646 0.03168546 0.03779154 ... 0.95723694 0.06249875 0.07824386],[0.07024646 0.03168546 0.03779154 ... 0.95723694 0.06249875 0.07824386]
392,digen15_5311,0.9475699925197307,0.9273,0.9271335768087652,0.9247956967001137,[0.49784634 0.49779603 0.49784591 ... 1.         1.         1.        ],"[1.00000000e+00 9.99798793e-01 9.99798793e-01 ... 4.02414487e-04
 2.01207243e-04 0.00000000e+00]",0.9650927972199602,0.9966705121012284,0.9719,0.9739297493947929,0.969366619426578,[0.80301399 0.80297865 0.80312276 ... 1.         1.         1.        ],"[1.00000000e+00 9.99776586e-01 9.99776586e-01 ... 4.46827525e-04
 2.23413762e-04 0.00000000e+00]",0.9957676061844437,9,autosklearn2,autosklearn2_1200s,[1 1 1 ... 1 1 1],[0.74910458 0.6719287  0.75519227 ... 0.75367483 0.66945522 0.75206661],[0.74910458 0.6719287  0.75519227 ... 0.75367483 0.66945522 0.75206661]
393,digen19_7270,0.997748790016311,0.9721,0.9727993690297201,0.9734967227130236,[0.88545303 0.88543399 0.88558124 ... 1.         1.         1.        ],"[1.00000000e+00 9.99812242e-01 9.99812242e-01 ... 3.75516335e-04
 1.87758167e-04 0.00000000e+00]",0.9980641885092234,0.997748790016311,0.9721,0.9727993690297201,0.9734967227130236,[0.88545303 0.88543399 0.88558124 ... 1.         1.         1.        ],"[1.00000000e+00 9.99812242e-01 9.99812242e-01 ... 3.75516335e-04
 1.87758167e-04 0.00000000e+00]",0.9980641885092234,9,autosklearn2,autosklearn2_1200s,[0 0 1 ... 1 0 0],[0.15307053 0.00393789 0.85813622 ... 0.95484316 0.18773929 0.00441559],[0.15307053 0.00393789 0.85813622 ... 0.95484316 0.18773929 0.00441559]
394,digen5_6949,0.9642343058246836,0.9546,0.9565134560284232,0.9532151690024732,[0.76543613 0.76539781 0.76552288 ... 1.         1.         1.        ],"[1.00000000e+00 9.99786598e-01 9.99786598e-01 ... 4.26803244e-04
 2.13401622e-04 0.00000000e+00]",0.9235787635936423,0.9993456919257879,0.9901,0.9901326333991789,0.9901678418909524,[0.82505717 0.82502859 0.8251634  ... 1.         1.         1.        ],"[1.00000000e+00 9.99802019e-01 9.99802019e-01 ... 3.95961196e-04
 1.97980598e-04 0.00000000e+00]",0.9994053955743519,9,autosklearn2,autosklearn2_1200s,[1 0 1 ... 0 0 1],[0.92081186 0.14842421 0.79879655 ... 0.02971716 0.0995257  0.8258166 ],[0.92081186 0.14842421 0.79879655 ... 0.02971716 0.0995257  0.8258166 ]
395,digen11_7270,0.9990325070200845,0.9792,0.9790730540404392,0.9796954314720812,[0.93053759 0.93052476 0.93069673 ... 1.         1.         1.        ],"[1.00000000e+00 9.99801469e-01 9.99801469e-01 ... 3.97061743e-04
 1.98530872e-04 0.00000000e+00]",0.9990324023851661,0.9990325070200845,0.9792,0.9790730540404392,0.9796954314720812,[0.93053759 0.93052476 0.93069673 ... 1.         1.         1.        ],"[1.00000000e+00 9.99801469e-01 9.99801469e-01 ... 3.97061743e-04
 1.98530872e-04 0.00000000e+00]",0.9990324023851661,9,autosklearn2,autosklearn2_1200s,[1 1 1 ... 0 0 0],[0.88646396 0.980056   0.88774092 ... 0.05754009 0.03851411 0.02363731],[0.88646396 0.980056   0.88774092 ... 0.05754009 0.03851411 0.02363731]
